"Temperature (K)","Solid Volume Fraction of h2o","X (m)","Y (m)","Z (m)"
273,0.5,0.29999999999999999,0.05000000074505806,0
273,0.5,0.30099999999999999,0.05000000074505806,0
273,0.5,0.30199999999999999,0.05000000074505806,0
273,0.5,0.30299999999999999,0.05000000074505806,0
273,0.5,0.30399999999999999,0.05000000074505806,0
273,0.5,0.30499999999999999,0.05000000074505806,0
273,0.5,0.30599999999999999,0.05000000074505806,0
273,0.5,0.307,0.05000000074505806,0
273,0.5,0.308,0.05000000074505806,0
273,0.5,0.309,0.05000000074505806,0
273,0.5,0.31,0.05000000074505806,0
273,0.5,0.311,0.05000000074505806,0
273,0.5,0.312,0.05000000074505806,0
273,0.5,0.313,0.05000000074505806,0
273,0.5,0.314,0.05000000074505806,0
273,0.5,0.315,0.05000000074505806,0
273,0.5,0.316,0.05000000074505806,0
273,0.5,0.317,0.05000000074505806,0
273,0.5,0.318,0.05000000074505806,0
273,0.5,0.31900000000000001,0.05000000074505806,0
273,0.5,0.32000000000000001,0.05000000074505806,0
273,0.5,0.32100000000000001,0.05000000074505806,0
273,0.5,0.32200000000000001,0.05000000074505806,0
273,0.5,0.32300000000000001,0.05000000074505806,0
273,0.5,0.32400000000000001,0.05000000074505806,0
273,0.5,0.32500000000000001,0.05000000074505806,0
273,0.5,0.32600000000000001,0.05000000074505806,0
273,0.5,0.32700000000000001,0.05000000074505806,0
273,0.5,0.32800000000000001,0.05000000074505806,0
273,0.5,0.32900000000000001,0.05000000074505806,0
273,0.5,0.33000000000000002,0.05000000074505806,0
273,0.5,0.33100000000000002,0.05000000074505806,0
273,0.5,0.33200000000000002,0.05000000074505806,0
273,0.5,0.33300000000000002,0.05000000074505806,0
273,0.5,0.33400000000000002,0.05000000074505806,0
273,0.5,0.33500000000000002,0.05000000074505806,0
273,0.5,0.33600000000000002,0.05000000074505806,0
273,0.5,0.33700000000000002,0.05000000074505806,0
273,0.5,0.33800000000000002,0.05000000074505806,0
273,0.5,0.33900000000000002,0.05000000074505806,0
273,0.5,0.34000000000000002,0.05000000074505806,0
273,0.5,0.34100000000000003,0.05000000074505806,0
273,0.5,0.34200000000000003,0.05000000074505806,0
273,0.5,0.34300000000000003,0.05000000074505806,0
273,0.5,0.34399999999999997,0.05000000074505806,0
273,0.5,0.34499999999999997,0.05000000074505806,0
273,0.5,0.34599999999999997,0.05000000074505806,0
273,0.5,0.34699999999999998,0.05000000074505806,0
273,0.5,0.34799999999999998,0.05000000074505806,0
273,0.5,0.34899999999999998,0.05000000074505806,0
273,0.5,0.34999999999999998,0.05000000074505806,0
273,0.5,0.35099999999999998,0.05000000074505806,0
273,0.5,0.35199999999999998,0.05000000074505806,0
273,0.5,0.35299999999999998,0.05000000074505806,0
273,0.5,0.35399999999999998,0.05000000074505806,0
273,0.5,0.35499999999999998,0.05000000074505806,0
273,0.5,0.35599999999999998,0.05000000074505806,0
273,0.5,0.35699999999999998,0.05000000074505806,0
273,0.5,0.35799999999999998,0.05000000074505806,0
273,0.5,0.35899999999999999,0.05000000074505806,0
273,0.5,0.35999999999999999,0.05000000074505806,0
273,0.5,0.36099999999999999,0.05000000074505806,0
273,0.5,0.36199999999999999,0.05000000074505806,0
273,0.5,0.36299999999999999,0.05000000074505806,0
273,0.5,0.36399999999999999,0.05000000074505806,0
273,0.5,0.36499999999999999,0.05000000074505806,0
273,0.5,0.36599999999999999,0.05000000074505806,0
273,0.5,0.36699999999999999,0.05000000074505806,0
273,0.5,0.36799999999999999,0.05000000074505806,0
273,0.5,0.36899999999999999,0.05000000074505806,0
273,0.5,0.37,0.05000000074505806,0
273,0.5,0.371,0.05000000074505806,0
273,0.5,0.372,0.05000000074505806,0
273,0.5,0.373,0.05000000074505806,0
273,0.5,0.374,0.05000000074505806,0
273,0.5,0.375,0.05000000074505806,0
273,0.5,0.376,0.05000000074505806,0
273,0.5,0.377,0.05000000074505806,0
273,0.5,0.378,0.05000000074505806,0
273,0.5,0.379,0.05000000074505806,0
273,0.5,0.38,0.05000000074505806,0
273,0.5,0.38100000000000001,0.05000000074505806,0
273,0.5,0.38200000000000001,0.05000000074505806,0
273,0.5,0.38300000000000001,0.05000000074505806,0
273,0.5,0.38400000000000001,0.05000000074505806,0
273,0.5,0.38500000000000001,0.05000000074505806,0
273,0.5,0.38600000000000001,0.05000000074505806,0
273,0.5,0.38700000000000001,0.05000000074505806,0
273,0.5,0.38800000000000001,0.05000000074505806,0
273,0.5,0.38900000000000001,0.05000000074505806,0
273,0.5,0.39000000000000001,0.05000000074505806,0
273,0.5,0.39100000000000001,0.05000000074505806,0
273,0.5,0.39200000000000002,0.05000000074505806,0
273,0.5,0.39300000000000002,0.05000000074505806,0
273,0.5,0.39400000000000002,0.05000000074505806,0
273,0.5,0.39500000000000002,0.05000000074505806,0
273,0.5,0.39600000000000002,0.05000000074505806,0
273,0.5,0.39700000000000002,0.05000000074505806,0
273,0.5,0.39800000000000002,0.05000000074505806,0
273,0.5,0.39900000000000002,0.05000000074505806,0
273,0.5,0.40000000000000002,0.05000000074505806,0
273,0.5,0.40100000000000002,0.05000000074505806,0
273,0.5,0.40200000000000002,0.05000000074505806,0
273,0.5,0.40300000000000002,0.05000000074505806,0
273,0.5,0.40400000000000003,0.05000000074505806,0
273,0.5,0.40500000000000003,0.05000000074505806,0
273,0.5,0.40600000000000003,0.05000000074505806,0
273,0.5,0.40699999999999997,0.05000000074505806,0
273,0.5,0.40799999999999997,0.05000000074505806,0
273,0.5,0.40899999999999997,0.05000000074505806,0
273,0.5,0.40999999999999998,0.05000000074505806,0
273,0.5,0.41099999999999998,0.05000000074505806,0
273,0.5,0.41199999999999998,0.05000000074505806,0
273,0.5,0.41299999999999998,0.05000000074505806,0
273,0.5,0.41399999999999998,0.05000000074505806,0
273,0.5,0.41499999999999998,0.05000000074505806,0
273,0.5,0.41599999999999998,0.05000000074505806,0
273,0.5,0.41699999999999998,0.05000000074505806,0
273,0.5,0.41799999999999998,0.05000000074505806,0
273,0.5,0.41899999999999998,0.05000000074505806,0
273,0.5,0.41999999999999998,0.05000000074505806,0
273,0.5,0.42099999999999999,0.05000000074505806,0
273,0.5,0.42199999999999999,0.05000000074505806,0
273,0.5,0.42299999999999999,0.05000000074505806,0
273,0.5,0.42399999999999999,0.05000000074505806,0
273,0.5,0.42499999999999999,0.05000000074505806,0
273,0.5,0.42599999999999999,0.05000000074505806,0
273,0.5,0.42699999999999999,0.05000000074505806,0
273,0.5,0.42799999999999999,0.05000000074505806,0
273,0.5,0.42899999999999999,0.05000000074505806,0
273,0.5,0.42999999999999999,0.05000000074505806,0
273,0.5,0.43099999999999999,0.05000000074505806,0
273,0.5,0.432,0.05000000074505806,0
273,0.5,0.433,0.05000000074505806,0
273,0.5,0.434,0.05000000074505806,0
273,0.5,0.435,0.05000000074505806,0
273,0.5,0.436,0.05000000074505806,0
273,0.5,0.437,0.05000000074505806,0
273,0.5,0.438,0.05000000074505806,0
273,0.5,0.439,0.05000000074505806,0
273,0.5,0.44,0.05000000074505806,0
273,0.5,0.441,0.05000000074505806,0
273,0.5,0.442,0.05000000074505806,0
273,0.5,0.443,0.05000000074505806,0
273,0.5,0.44400000000000001,0.05000000074505806,0
273,0.5,0.44500000000000001,0.05000000074505806,0
273,0.5,0.44600000000000001,0.05000000074505806,0
273,0.5,0.44700000000000001,0.05000000074505806,0
273,0.5,0.44800000000000001,0.05000000074505806,0
273,0.5,0.44900000000000001,0.05000000074505806,0
273,0.5,0.45000000000000001,0.05000000074505806,0
273,0.5,0.45100000000000001,0.05000000074505806,0
273,0.5,0.45200000000000001,0.05000000074505806,0
273,0.5,0.45300000000000001,0.05000000074505806,0
273,0.5,0.45400000000000001,0.05000000074505806,0
273,0.5,0.45500000000000002,0.05000000074505806,0
273,0.5,0.45600000000000002,0.05000000074505806,0
273,0.5,0.45700000000000002,0.05000000074505806,0
273,0.5,0.45800000000000002,0.05000000074505806,0
273,0.5,0.45900000000000002,0.05000000074505806,0
